,发卡行名称,长度,取值,卡种
230,中国工商银行,18,621407,借记卡
231,中国工商银行,18,621408,借记卡
232,中国工商银行,18,621409,借记卡
233,中国工商银行,18,621410,借记卡
234,中国工商银行,18,621502,借记卡
235,中国工商银行,18,621317,借记卡
236,中国工商银行,18,621511,借记卡
237,中国工商银行,18,621602,借记卡
238,中国工商银行,18,621603,借记卡
239,中国工商银行,18,621604,借记卡
240,中国工商银行,18,621605,借记卡
241,中国工商银行,18,621608,借记卡
242,中国工商银行,18,621609,借记卡
243,中国工商银行,18,621610,借记卡
244,中国工商银行,18,621611,借记卡
245,中国工商银行,18,621612,借记卡
246,中国工商银行,18,621613,借记卡
247,中国工商银行,18,621614,借记卡
248,中国工商银行,18,621615,借记卡
249,中国工商银行,18,621616,借记卡
250,中国工商银行,18,621617,借记卡
251,中国工商银行,18,621607,借记卡
252,中国工商银行,18,621606,借记卡
253,中国工商银行,18,621804,借记卡
254,中国工商银行,18,621807,借记卡
255,中国工商银行,18,621813,借记卡
256,中国工商银行,18,621814,借记卡
257,中国工商银行,18,621817,借记卡
258,中国工商银行,18,621901,借记卡
259,中国工商银行,18,621904,借记卡
260,中国工商银行,18,621905,借记卡
261,中国工商银行,18,621906,借记卡
262,中国工商银行,18,621907,借记卡
263,中国工商银行,18,621908,借记卡
264,中国工商银行,18,621909,借记卡
265,中国工商银行,18,621910,借记卡
266,中国工商银行,18,621911,借记卡
267,中国工商银行,18,621912,借记卡
268,中国工商银行,18,621913,借记卡
269,中国工商银行,18,621915,借记卡
270,中国工商银行,18,622002,借记卡
271,中国工商银行,18,621903,借记卡
272,中国工商银行,18,622004,借记卡
273,中国工商银行,18,622005,借记卡
274,中国工商银行,18,622006,借记卡
275,中国工商银行,18,622007,借记卡
276,中国工商银行,18,622008,借记卡
277,中国工商银行,18,622010,借记卡
278,中国工商银行,18,622011,借记卡
279,中国工商银行,18,622012,借记卡
280,中国工商银行,18,621914,借记卡
281,中国工商银行,18,622015,借记卡
282,中国工商银行,18,622016,借记卡
283,中国工商银行,18,622003,借记卡
284,中国工商银行,18,622018,借记卡
285,中国工商银行,18,622019,借记卡
286,中国工商银行,18,622020,借记卡
287,中国工商银行,18,622102,借记卡
288,中国工商银行,18,622103,借记卡
289,中国工商银行,18,622104,借记卡
290,中国工商银行,18,622105,借记卡
291,中国工商银行,18,622013,借记卡
292,中国工商银行,18,622111,借记卡
293,中国工商银行,18,622114,借记卡
294,中国工商银行,18,622017,借记卡
295,中国工商银行,18,622110,借记卡
296,中国工商银行,18,622303,借记卡
297,中国工商银行,18,622304,借记卡
298,中国工商银行,18,622305,借记卡
299,中国工商银行,18,622306,借记卡
300,中国工商银行,18,622307,借记卡
301,中国工商银行,18,622308,借记卡
302,中国工商银行,18,622309,借记卡
303,中国工商银行,18,622314,借记卡
304,中国工商银行,18,622315,借记卡
305,中国工商银行,18,622317,借记卡
306,中国工商银行,18,622302,借记卡
307,中国工商银行,18,622402,借记卡
308,中国工商银行,18,622403,借记卡
309,中国工商银行,18,622404,借记卡
310,中国工商银行,18,622313,借记卡
311,中国工商银行,18,622504,借记卡
312,中国工商银行,18,622505,借记卡
313,中国工商银行,18,622509,借记卡
314,中国工商银行,18,622513,借记卡
315,中国工商银行,18,622517,借记卡
316,中国工商银行,18,622502,借记卡
317,中国工商银行,18,622604,借记卡
318,中国工商银行,18,622605,借记卡
319,中国工商银行,18,622606,借记卡
320,中国工商银行,18,622510,借记卡
321,中国工商银行,18,622703,借记卡
322,中国工商银行,18,622715,借记卡
323,中国工商银行,18,622806,借记卡
324,中国工商银行,18,622902,借记卡
325,中国工商银行,18,622903,借记卡
326,中国工商银行,18,622706,借记卡
327,中国工商银行,18,623002,借记卡
328,中国工商银行,18,623006,借记卡
329,中国工商银行,18,623008,借记卡
330,中国工商银行,18,623011,借记卡
331,中国工商银行,18,623012,借记卡
332,中国工商银行,18,622904,借记卡
333,中国工商银行,18,623015,借记卡
334,中国工商银行,18,623100,借记卡
335,中国工商银行,18,623202,借记卡
336,中国工商银行,18,623301,借记卡
337,中国工商银行,18,623400,借记卡
338,中国工商银行,18,623500,借记卡
339,中国工商银行,18,623602,借记卡
340,中国工商银行,18,623803,借记卡
341,中国工商银行,18,623901,借记卡
342,中国工商银行,18,623014,借记卡
343,中国工商银行,18,624100,借记卡
344,中国工商银行,18,624200,借记卡
345,中国工商银行,18,624301,借记卡
346,中国工商银行,18,624402,借记卡
347,中国工商银行,16,62451804,贷记卡
348,中国工商银行,16,62451810,贷记卡
349,中国工商银行,16,62451811,贷记卡
350,中国工商银行,16,6245806,贷记卡
351,中国工商银行,16,62458071,贷记卡
352,中国工商银行,16,6253098,贷记卡
353,中国工商银行,18,623700,借记卡
354,中国工商银行,18,624000,借记卡
355,中国工商银行,19,9558,借记卡
356,中国工商银行,16,622246,贷记卡
357,中国工商银行,19,900000,借记卡
358,中国工商银行,16,544210,贷记卡
359,中国工商银行,16,548943,贷记卡
360,中国工商银行,15,370267,贷记卡
361,中国工商银行,19,621558,借记卡
362,中国工商银行,19,621559,借记卡
363,中国工商银行,19,621722,借记卡
364,中国工商银行,19,621723,借记卡
365,中国工商银行,19,621226,借记卡
366,中国工商银行,16,402791,借记卡
367,中国工商银行,16,427028,借记卡
368,中国工商银行,16,427038,借记卡
369,中国工商银行,16,548259,借记卡
370,中国工商银行,19,620516,借记卡
371,中国工商银行,19,621721,借记卡
372,中国工商银行,19,900010,借记卡
373,中国工商银行,16,622236,贷记卡
374,中国工商银行,16,524374,贷记卡
375,中国工商银行,16,550213,贷记卡
376,中国工商银行,19,621288,借记卡
377,中国工商银行,16,622597,贷记卡
378,中国工商银行,16,622599,贷记卡
379,中国工商银行,14,360883,贷记卡
380,中国工商银行,14,360884,贷记卡
381,中国工商银行,16,625865,贷记卡
382,中国工商银行,16,625866,贷记卡
383,中国工商银行,16,625899,贷记卡
384,中国工商银行,15,374738,贷记卡
385,中国工商银行,15,374739,贷记卡
386,中国工商银行,16,510529,贷记卡
387,中国工商银行,16,524091,贷记卡
388,中国工商银行,16,625650,贷记卡
389,中国工商银行,16,622910,贷记卡
390,中国工商银行,16,622911,贷记卡
391,中国工商银行,16,622912,贷记卡
392,中国工商银行,16,622913,贷记卡
393,中国工商银行,16,625858,贷记卡
394,中国工商银行,16,625859,贷记卡
395,中国工商银行,16,625860,贷记卡
396,中国工商银行,16,625160,贷记卡
397,中国工商银行,16,625161,贷记卡
398,中国工商银行,16,625162,贷记卡
399,中国工商银行,19,620086,借记卡
400,中国工商银行,19,621670,借记卡
401,中国工商银行,19,623260,借记卡
402,中国工商银行,19,620058,借记卡
403,中国工商银行,19,621225,借记卡
404,中国工商银行,19,621227,借记卡
405,中国工商银行,19,621281,借记卡
406,中国工商银行,19,621618,借记卡
407,中国工商银行,19,622200,借记卡
408,中国工商银行,19,622202,借记卡
409,中国工商银行,19,622203,借记卡
410,中国工商银行,19,622208,借记卡
411,中国工商银行,19,623062,借记卡
412,中国工商银行,19,623271,借记卡
413,中国工商银行,19,623272,借记卡
414,中国工商银行,19,621218,借记卡
415,中国工商银行,19,621475,借记卡
416,中国工商银行,19,621476,借记卡
417,中国工商银行,19,623229,借记卡
418,中国工商银行,16,625651,贷记卡
419,中国工商银行,16,356879,贷记卡
420,中国工商银行,16,356880,贷记卡
421,中国工商银行,16,356881,贷记卡
422,中国工商银行,16,356882,贷记卡
423,中国工商银行,15,370246,贷记卡
424,中国工商银行,15,370247,贷记卡
425,中国工商银行,15,370248,贷记卡
426,中国工商银行,15,370249,贷记卡
427,中国工商银行,16,427010,贷记卡
428,中国工商银行,16,427018,贷记卡
429,中国工商银行,16,427019,贷记卡
430,中国工商银行,16,427020,贷记卡
431,中国工商银行,16,427029,贷记卡
432,中国工商银行,16,427030,贷记卡
433,中国工商银行,16,427039,贷记卡
434,中国工商银行,16,438125,贷记卡
435,中国工商银行,16,438126,贷记卡
436,中国工商银行,16,451804,贷记卡
437,中国工商银行,16,451810,贷记卡
438,中国工商银行,16,451811,贷记卡
439,中国工商银行,16,45806,贷记卡
440,中国工商银行,16,458071,贷记卡
441,中国工商银行,16,458441,贷记卡
442,中国工商银行,16,489734,贷记卡
443,中国工商银行,16,489735,贷记卡
444,中国工商银行,16,489736,贷记卡
445,中国工商银行,16,513685,贷记卡
446,中国工商银行,16,524047,贷记卡
447,中国工商银行,16,525498,贷记卡
448,中国工商银行,16,526836,贷记卡
449,中国工商银行,16,528856,贷记卡
450,中国工商银行,16,530970,贷记卡
451,中国工商银行,16,53098,贷记卡
452,中国工商银行,16,530990,贷记卡
453,中国工商银行,16,543098,贷记卡
454,中国工商银行,16,558360,贷记卡
455,中国工商银行,16,622206,贷记卡
456,中国工商银行,16,622210,准贷记卡
457,中国工商银行,16,622211,准贷记卡
458,中国工商银行,16,622212,准贷记卡
459,中国工商银行,16,622213,准贷记卡
460,中国工商银行,16,622214,准贷记卡
461,中国工商银行,16,622215,准贷记卡
462,中国工商银行,16,622220,准贷记卡
463,中国工商银行,16,622223,准贷记卡
464,中国工商银行,16,622224,准贷记卡
465,中国工商银行,16,622225,准贷记卡
466,中国工商银行,16,622229,准贷记卡
467,中国工商银行,16,622230,贷记卡
468,中国工商银行,16,622231,贷记卡
469,中国工商银行,16,622232,贷记卡
470,中国工商银行,16,622233,贷记卡
471,中国工商银行,16,622234,贷记卡
472,中国工商银行,16,622235,贷记卡
473,中国工商银行,16,622237,贷记卡
474,中国工商银行,16,622238,贷记卡
475,中国工商银行,16,622239,贷记卡
476,中国工商银行,16,622240,贷记卡
477,中国工商银行,16,622245,贷记卡
478,中国工商银行,16,625330,贷记卡
479,中国工商银行,16,625331,贷记卡
480,中国工商银行,16,625332,贷记卡
481,中国工商银行,16,625708,贷记卡
482,中国工商银行,16,625709,贷记卡
483,中国工商银行,16,628286,贷记卡
484,中国工商银行,16,628288,贷记卡
485,中国工商银行,16,62844801,贷记卡
486,工行布鲁塞尔,16,625929,贷记卡
487,中国工商银行布鲁塞尔分行,16,621376,借记卡
488,中国工商银行布鲁塞尔分行,16,620054,预付费卡
489,中国工商银行布鲁塞尔分行,16,620142,预付费卡
490,中国工商银行（巴西）,16,621423,借记卡
491,中国工商银行（巴西）,16,625927,贷记卡
492,中国工商银行金边分行,16,621428,借记卡
493,中国工商银行金边分行,16,625939,贷记卡
494,中国工商银行金边分行,16,621434,借记卡
495,中国工商银行金边分行,16,625987,贷记卡
496,中国工商银行加拿大分行,16,621761,借记卡
497,中国工商银行加拿大分行,16,621749,借记卡
498,中国工商银行加拿大分行,16,620184,预付费卡
499,工行加拿大,16,625930,贷记卡
500,中国工商银行加拿大分行,16,623321,借记卡
501,中国工商银行巴黎分行,16,621300,借记卡
502,中国工商银行巴黎分行,16,621378,借记卡
503,中国工商银行巴黎分行,16,625114,贷记卡
504,中国工商银行法兰克福分行,16,622159,贷记卡
505,中国工商银行法兰克福分行,19,621720,借记卡
506,中国工商银行法兰克福分行,16,625021,贷记卡
507,中国工商银行法兰克福分行,16,625022,贷记卡
508,工银法兰克福,16,625932,贷记卡
509,中国工商银行法兰克福分行,19,621379,借记卡
510,中国工商银行法兰克福分行,19,620114,预付费卡
511,中国工商银行法兰克福分行,19,620146,预付费卡
512,中国工商银行有限公司,16,622889,贷记卡
513,中国工商银行有限公司,16,625900,贷记卡
514,中国工商银行有限公司,16,622949,借记卡
515,中国工商银行有限公司,16,625915,贷记卡
516,中国工商银行有限公司,16,625916,贷记卡
517,中国工商银行有限公司,16,620030,预付费卡
518,中国工商银行有限公司,16,620050,预付费卡
519,中国工商银行有限公司,16,622944,借记卡
520,中国工商银行有限公司,16,625115,贷记卡
521,中国工商银行有限公司,16,620101,预付费卡
522,中国工商银行有限公司,16,623335,预付费卡
523,中国工商银行有限公司,16,625941,贷记卡
524,中国工商银行有限公司,16,625801,贷记卡
525,中国工商银行,16,622171,贷记卡
526,中国工商银行,19,621240,借记卡
527,中国工商银行印尼分行,19,621724,借记卡
528,工银印尼,16,625931,贷记卡
529,中国工商银行（印度尼西亚）,19,621762,借记卡
530,中国工商银行印尼分行,16,625918,贷记卡
531,工行米兰,16,625113,贷记卡
532,中国工商银行米兰分行,16,621371,借记卡
533,中国工商银行米兰分行,16,620143,预付费卡
534,中国工商银行米兰分行,16,620149,预付费卡
535,中国工商银行米兰分行,16,62137310,借记卡
536,中国工商银行米兰分行,16,62137320,借记卡
537,中国工商银行米兰分行,16,62592310,贷记卡
538,中国工商银行米兰分行,16,62592320,贷记卡
539,中国工商银行米兰分行,16,62592340,贷记卡
540,中国工商银行米兰分行,16,62013101,预付费卡
541,中国工商银行米兰分行,16,62013102,预付费卡
542,工行东京分行,16,621730,借记卡
543,工行阿拉木图,16,625928,贷记卡
544,中国工商银行阿拉木图子行,19,621414,借记卡
545,中国工商银行阿拉木图子行,16,625914,贷记卡
546,中国工商银行阿拉木图子行,19,621375,借记卡
547,中国工商银行阿拉木图子行,19,620187,预付费卡
548,工行首尔,16,621734,借记卡
549,中国工商银行万象分行,16,621433,借记卡
550,中国工商银行万象分行,16,625986,贷记卡
551,中国工商银行卢森堡分行,16,621370,借记卡
552,中国工商银行卢森堡分行,16,625925,贷记卡
553,中国工商银行澳门分行,19,622926,借记卡
554,中国工商银行澳门分行,19,622927,借记卡
555,中国工商银行澳门分行,19,622928,借记卡
556,中国工商银行澳门分行,19,622929,借记卡
557,中国工商银行澳门分行,19,622930,借记卡
558,中国工商银行澳门分行,19,622931,借记卡
559,中国工商银行（澳门）,19,621733,借记卡
560,中国工商银行（澳门）,19,621732,借记卡
561,中国工商银行澳门分行,16,620124,预付费卡
562,中国工商银行澳门分行,16,620183,预付费卡
563,中国工商银行澳门分行,16,620561,预付费卡
564,中国工商银行澳门分行,16,625116,贷记卡
565,中国工商银行澳门分行,16,622227,贷记卡
566,工行马来西亚,16,625921,贷记卡
567,工银马来西亚,16,621764,借记卡
568,工行阿姆斯特丹,16,625926,贷记卡
569,中国工商银行阿姆斯特丹,19,621372,借记卡
570,工银新西兰,16,623034,借记卡
571,工银新西兰,16,625110,贷记卡
572,中国工商银行卡拉奇分行,16,621464,借记卡
573,中国工商银行卡拉奇分行,16,625942,贷记卡
574,中国工商银行卡拉奇分行,16,62594250,贷记卡
575,中国工商银行卡拉奇分行,16,62594260,贷记卡
576,中国工商银行卡拉奇分行,16,62594270,贷记卡
577,中国工商银行新加坡分行,16,622158,贷记卡
578,中国工商银行新加坡分行,16,625917,贷记卡
579,中国工商银行新加坡分行,16,621765,借记卡
580,中国工商银行新加坡分行,16,620094,预付费卡
581,中国工商银行新加坡分行,16,620186,预付费卡
582,中国工商银行新加坡分行,16,621719,借记卡
583,中国工商银行新加坡分行,19,621719,借记卡
584,工行河内,16,625922,贷记卡
585,工银河内,19,621369,借记卡
586,工银河内,19,621763,借记卡
587,工银河内,16,625934,贷记卡
588,工银河内,19,620046,预付费卡
589,中国工商银行马德里分行,16,621750,借记卡
590,工行马德里,16,625933,贷记卡
591,中国工商银行马德里分行,16,621377,借记卡
592,中国工商银行马德里分行,16,620148,预付费卡
593,中国工商银行马德里分行,16,620185,预付费卡
594,工银泰国,16,625920,贷记卡
595,工银泰国,16,621367,借记卡
596,工行伦敦,16,625924,贷记卡
597,中国工商银行伦敦子行,16,621374,借记卡
598,中国工商银行伦敦子行,16,621731,借记卡
599,中国工商银行伦敦子行,16,621781,借记卡
600,ICBC NA,16,6243190,贷记卡
601,ICBC NA,16,6243191,贷记卡
602,ICBC NA,16,6243192,贷记卡
603,ICBC NA,16,6243193,贷记卡
604,ICBC NA,16,62431940,贷记卡
605,ICBC NA,16,6244220,贷记卡
606,ICBC NA,16,6244221,贷记卡
607,ICBC NA,16,6244222,贷记卡
608,ICBC NA,16,6244223,贷记卡
609,ICBC NA,16,62442240,贷记卡
610,农业银行,19,103,借记卡
611,农业银行,16,552599,贷记卡
612,农业银行,16,6349102,准贷记卡
613,农业银行,16,6353591,准贷记卡
614,农业银行,19,623206,借记卡
615,农业银行,19,621671,借记卡
616,农业银行,19,620059,借记卡
617,农业银行,16,403361,贷记卡
618,农业银行,16,404117,贷记卡
619,农业银行,16,404118,贷记卡
620,农业银行,16,404119,贷记卡
621,农业银行,16,404120,贷记卡
622,农业银行,16,404121,贷记卡
623,农业银行,16,463758,贷记卡
624,农业银行,16,49102,准贷记卡
625,农业银行,16,514027,贷记卡
626,农业银行,16,519412,贷记卡
627,农业银行,16,519413,贷记卡
628,农业银行,16,520082,贷记卡
629,农业银行,16,520083,贷记卡
630,农业银行,16,53591,准贷记卡
631,农业银行,16,558730,贷记卡
632,农业银行,19,621282,借记卡
633,农业银行,19,621336,借记卡
634,农业银行,19,621619,借记卡
635,农业银行,19,622821,借记卡
636,农业银行,19,622822,借记卡
637,农业银行,19,622823,借记卡
638,农业银行,19,622824,借记卡
639,农业银行,19,622825,借记卡
640,农业银行,19,622826,借记卡
641,农业银行,19,622827,借记卡
642,农业银行,19,622828,借记卡
643,农业银行,16,622836,贷记卡
644,农业银行,16,622837,贷记卡
645,农业银行,19,622840,借记卡
646,农业银行,19,622841,借记卡
647,农业银行,19,622843,借记卡
648,农业银行,19,622844,借记卡
649,农业银行,19,622845,借记卡
650,农业银行,19,622846,借记卡
651,农业银行,19,622847,借记卡
652,农业银行,19,622848,借记卡
653,农业银行,19,622849,借记卡
654,农业银行,19,623018,借记卡
655,农业银行,16,625996,贷记卡
656,农业银行,16,625997,贷记卡
657,农业银行,16,625998,贷记卡
658,农业银行,16,628268,贷记卡
659,农业银行,19,95595,借记卡
660,农业银行,19,95596,借记卡
661,农业银行,19,95597,借记卡
662,农业银行,19,95598,借记卡
663,农业银行,19,95599,借记卡
664,农业银行,16,622839,贷记卡
665,农业银行,19,623050,借记卡
